ticker,fund_name,fund_theme,strategy_no,触发条件,条件解释,机制,full_avg,full_hit
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,1,FXY>0 且 GDX>0 且 QQQ<0，买基金第二天,日元上涨，金矿股上涨，科技成长下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为生物科技类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4573282810504677,0.6237623762376238
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,3,XLK<0 且 信用利差>0，买基金第二天,科技下跌，信用利差上升,信用风险上升，高风险资产承压；板块轮动偏向价值/金融。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为生物科技类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.422008397452931,0.5543071161048689
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,2,FXY>0 且 XLE<0 且 XLU>0，买基金第二天,日元上涨，能源下跌，公用事业上涨,避险与利率敏感资产走强；资金转向防御性板块。资金转向避险与防御资产，风险资产承压。该基金为生物科技类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2943223260132523,0.5644768856447688
BITIX,Short Bitcoin ProFund - Investor Class,比特币,2,EEM>0 且 JNK>0 且 SPY>0，买基金第二天,新兴市场上涨，高收益债上涨，标普500上涨,风险偏好回暖，资金回流权益与信用资产；信用环境偏宽松。资金回流风险资产，避险资产相对走弱。该基金为比特币类反向产品，风险偏好回暖时风险资产走强，反向产品价格倾向承压。,0.3123233762271711,0.5589519650655022
BKPIX,Banks UltraSector ProFund， Investor Class,银行金融,1,GDX>0 且 IWM<0 且 XLK<0，买基金第二天,金矿股上涨，小盘下跌，科技下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为银行金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.5662008095350111,0.569811320754717
BKPIX,Banks UltraSector ProFund， Investor Class,银行金融,3,GLD<0 且 VIX5d>=10.0%，买基金第二天,黄金下跌，VIX近5日变化>=10,恐慌情绪升温；避险资产走弱。市场风险偏好与防御信号并存，资金分流加剧。该基金为银行金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3622272275789358,0.5821256038647343
BKPSX,Banks UltraSector ProFund， Service Class,银行金融,1,GDX>0 且 QQQ<0 且 SLV>0，买基金后2日平均回报,金矿股上涨，科技成长下跌，白银上涨,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为银行金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.484710671209508,0.6074498567335244
BKPSX,Banks UltraSector ProFund， Service Class,银行金融,3,GLD<0 且 VIX5d>=10.0%，买基金第二天,黄金下跌，VIX近5日变化>=10,恐慌情绪升温；避险资产走弱。市场风险偏好与防御信号并存，资金分流加剧。该基金为银行金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3580871401273103,0.5821256038647343
BMPIX,Materials UltraSector ProFund - Investor Class,原材料,1,GDX>0 且 XLF<0 且 XLK<0，买基金第二天,金矿股上涨，金融下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优，价值/金融板块相对占优。该基金为原材料类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.48871846330273,0.5764331210191083
BMPIX,Materials UltraSector ProFund - Investor Class,原材料,2,GLD>0 且 XLF<0 且 XLK<0，买基金后2日平均回报,黄金上涨，金融下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优，价值/金融板块相对占优。该基金为原材料类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.327265357507526,0.6078431372549019
BMPIX,Materials UltraSector ProFund - Investor Class,原材料,3,GDX>0 且 JNK<0 且 XLF<0，买基金第二天,金矿股上涨，高收益债下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；信用风险上升，高风险资产承压。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为原材料类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.5934086616038332,0.5714285714285714
BMPSX,Materials UltraSector ProFund - Service Class,原材料,1,GDX>0 且 JNK<0 且 XLF<0，买基金第二天,金矿股上涨，高收益债下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；信用风险上升，高风险资产承压。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为原材料类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.590684872767363,0.5714285714285714
